TTB ID,Product Name,Brand,Type,Alcohol Content,Permit Number,Approval Date,Expiration Date,Label Status
TTB-2024-001,Napa Valley Cabernet,Silver Oak,Wine,14.5%,IM-CA-2023001,2024-01-15,2029-01-15,Approved
TTB-2024-002,Premium Vodka,Crystal Clear,Spirit,40%,IM-NY-2023002,2024-01-20,2029-01-20,Approved
TTB-2024-003,Coconut Rum,Tropical Paradise,Spirit,35%,IM-FL-2023003,2024-02-01,2029-02-01,Approved
TTB-2024-004,Bourbon Whiskey,Texas Heritage,Spirit,45%,IM-TX-2023004,2024-02-10,2029-02-10,Approved
TTB-2024-005,Craft Beer IPA,Hoppy Days,Beer,6.5%,IM-WA-2023999,2024-02-15,2029-02-15,Approved
TTB-2024-006,Pinot Noir,Valley Reserve,Wine,13.5%,IM-CA-2023001,2024-03-01,2029-03-01,Approved
TTB-2024-007,Gin,London Dry Classic,Spirit,42%,IM-NY-2023002,2024-03-05,2029-03-05,Approved
TTB-2024-008,Tequila Blanco,Agave Gold,Spirit,38%,IM-CA-2023999,2024-03-10,2029-03-10,Pending
TTB-2024-009,Rye Whiskey,Midwest Reserve,Spirit,43%,IM-IL-2023005,2024-03-15,2029-03-15,Approved
TTB-2024-010,Champagne,Celebration Bubbles,Wine,12%,IM-NY-2023002,2024-03-20,2029-03-20,Approved